Sample_ID,Date of collection,Box,Sex,Phenotype,Weight,Time_of_weight,Mean,SD,N,SE,Note,
P146_NW_F1,05-Apr,146,F,Lw,0.698,W4,0.722,0.077,43,0.012,,
P146_NW_F3,05-Apr,146,F,Lw,0.714,W4,,,,,,
P146_NW_F4,05-Apr,146,F,Lw,0.708,W4,,,,,,
P149_NW_F3,05-Apr,149,F,Lw,0.732,W4,,,,,,
P149_NW_F4,05-Apr,149,F,Lw,0.758,W4,,,,,,
P149_NW_F6,05-Apr,149,F,Lw,0.763,W4,,,,,,
P149_NW_F7,05-Apr,149,F,Lw,0.788,W4,,,,,,
P149_NW_F8,05-Apr,149,F,Lw,0.807,W4,,,,,,
P149_NW_F9,05-Apr,149,F,Lw,0.726,W4,,,,,,
P145_NW_F4,14-Apr,145,F,Lw,0.905,W4,,,,,,
P145_NW_F5,14-Apr,145,F,Lw,0.728,W4,,,,,,
P145_NW_F6,14-Apr,145,F,Lw,0.785,W4,,,,,,
P145_NW_F7,14-Apr,145,F,Lw,0.739,W4,,,,,,
P145_NW_F8,14-Apr,145,F,Lw,0.818,W4,,,,,,
P146_NW_F5,17-Apr,146,F,Lw,0.661,W4,,,,,,
P146_NW_F9,17-Apr,146,F,Lw,0.722,W4,,,,,,
P146_NW_F11,17-Apr,146,F,Lw,0.771,W4,,,,,,
P146_NW_F12,17-Apr,146,F,Lw,0.629,W4,,,,,,
P146_NW_F13,17-Apr,146,F,Lw,0.682,W4,,,,,,
P146_NW_F16,17-Apr,146,F,Lw,0.762,W4,,,,,,
P146_NW_F17,17-Apr,146,F,Lw,0.612,W4,,,,,,
P146_NW_F19,17-Apr,146,F,Lw,0.611,W4,,,,,,
P146_NW_F20,17-Apr,146,F,Lw,0.711,W4,,,,,,
P149_NW_F11,18-Apr,149,F,Lw,0.732,W4,,,,,,
P149_NW_F13,18-Apr,149,F,Lw,0.809,W4,,,,,,
P146_NW_F22,29-Apr,146,F,Lw,0.679,W4,,,,,,
P145_NW_F10,29-Apr,145,F,Lw,0.842,W4,,,,,,
P145_NW_F11,29-Apr,145,F,Lw,0.727,W4,,,,,,
P149_NW_F14,29-Apr,149,F,Lw,0.771,W4,,,,,,
P149_NW_F15,29-Apr,149,F,Lw,0.750,W4,,,,,,
P149_NW_F16,29-Apr,149,F,Lw,0.852,W4,,,,,,
P152_NW_F2,01-May,152,F,Lw,0.742,W4,,,,,,
P152_NW_F5,01-May,152,F,Lw,0.697,W4,,,,,,
P152_NW_F6,01-May,152,F,Lw,0.686,W4,,,,,,
P152_NW_F7,01-May,152,F,Lw,0.635,W4,,,,,,
P145_NW_F14,08-May,145,F,Lw,0.840,W4,,,,,,
P152_NW_F9,10-May,152,F,Lw,0.648,W4,,,,,,
P152_NW_F10,10-May,152,F,Lw,0.603,W4,,,,,,
P152_NW_F11,10-May,152,F,Lw,0.599,W4,,,,,,
P152_NW_F13,10-May,152,F,Lw,0.600,W4,,,,,,
P152_NW_F14,10-May,152,F,Lw,0.751,W4,,,,,,
P152_NW_F16,10-May,152,F,Lw,0.655,W4,,,,,,
P152_NW_F18,10-May,152,F,Lw,0.578,W4,,,,,,
P146_NW_F1,05-Apr,146,F,Lw,0.710,W6,0.762,0.098,43,0.015,,
P146_NW_F3,05-Apr,146,F,Lw,0.736,W6,,,,,,
P146_NW_F4,05-Apr,146,F,Lw,0.713,W6,,,,,,
P149_NW_F3,05-Apr,149,F,Lw,0.812,W6,,,,,,
P149_NW_F4,05-Apr,149,F,Lw,0.782,W6,,,,,,
P149_NW_F6,05-Apr,149,F,Lw,0.805,W6,,,,,,
P149_NW_F7,05-Apr,149,F,Lw,0.841,W6,,,,,,
P149_NW_F8,05-Apr,149,F,Lw,0.860,W6,,,,,,
P149_NW_F9,05-Apr,149,F,Lw,0.784,W6,,,,,,
P145_NW_F4,14-Apr,145,F,Lw,0.992,W6,,,,,,
P145_NW_F5,14-Apr,145,F,Lw,0.848,W6,,,,,,
P145_NW_F6,14-Apr,145,F,Lw,0.838,W6,,,,,,
P145_NW_F7,14-Apr,145,F,Lw,0.786,W6,,,,,,
P145_NW_F8,14-Apr,145,F,Lw,0.846,W6,,,,,,
P146_NW_F5,17-Apr,146,F,Lw,0.715,W6,,,,,,
P146_NW_F9,17-Apr,146,F,Lw,0.774,W6,,,,,,
P146_NW_F11,17-Apr,146,F,Lw,0.895,W6,,,,,,
P146_NW_F12,17-Apr,146,F,Lw,0.678,W6,,,,,,
P146_NW_F13,17-Apr,146,F,Lw,0.739,W6,,,,,,
P146_NW_F16,17-Apr,146,F,Lw,0.806,W6,,,,,,
P146_NW_F17,17-Apr,146,F,Lw,0.648,W6,,,,,,
P146_NW_F19,17-Apr,146,F,Lw,0.700,W6,,,,,,
P146_NW_F20,17-Apr,146,F,Lw,0.733,W6,,,,,,
P149_NW_F11,18-Apr,149,F,Lw,0.806,W6,,,,,,
P149_NW_F13,18-Apr,149,F,Lw,0.869,W6,,,,,,
P146_NW_F22,29-Apr,146,F,Lw,0.709,W6,,,,,,
